,ATR,RSI,Stochastic Oscillator,SMA,VWAP,MACD,ADX,CCI,Williams %R,Parabolic SAR,OBV,CMF
369,1.56857142857143,56.56178050652341,31.628787878787904,41.18714285714286,58.38164462117165,0.1568954748639797,5473.973154509762,-39.298017951213296,-68.3712121212121,39.33,4158.439999999996,0.13292990208752536
370,1.5500000000000018,70.1530612244898,79.17261055634806,41.065,58.33020527118617,0.2768245972391128,5439.016296053228,31.899518500713974,-20.827389443651946,39.43,4248.359999999996,0.1170766350604392
371,1.7185714285714297,54.32190760059611,65.47788873038513,40.72642857142858,58.27025318727179,0.20696213747444148,5412.834429792694,7.662466222543746,-34.52211126961487,40.19,4172.169999999996,0.04361939031368686
372,1.7778571428571435,58.60904794058068,59.771754636233936,40.64357142857143,58.21616926762796,0.21252733046608796,5374.594310020377,14.416820135052133,-40.228245363766064,40.19,4086.7499999999964,0.0083495081214866
373,1.7585714285714285,63.63636363636367,78.88730385164055,40.46142857142858,58.16912183577288,0.25726650653228234,5311.975740456857,51.74320290558295,-21.112696148359447,40.4,4164.509999999997,0.07992536995468918
374,1.7864285714285713,64.6219686162625,59.201141226818834,40.19571428571429,58.11680977638114,0.17419154207083665,5270.43226301766,21.05188600731655,-40.79885877318117,40.17,4093.6499999999965,0.04849941144254638
375,1.812857142857143,63.53944562899788,62.70337922403009,39.902857142857144,58.056552249815006,0.20613307409175263,5199.338614345167,10.998805672901124,-37.29662077596991,39.38,4018.7699999999963,0.02356093122138835
376,1.8150000000000002,61.868512110726655,73.96745932415521,39.63071428571429,58.00762814926091,0.25612196661165854,5102.543798159088,55.95386181160241,-26.03254067584478,39.38,4103.079999999996,-0.04150174782740888
377,1.7992857142857146,61.10731373889269,87.98498122653316,39.385714285714286,57.96921197465454,0.22456419718634635,4952.698308524077,88.05167455738592,-12.015018773466842,40.58,4177.109999999996,-0.002159359565358849
378,1.8242857142857143,56.02791878172588,86.60826032540676,39.153571428571425,57.91883870778074,0.06698225588805684,4804.401422088005,101.08509602550194,-13.391739674593243,41.66,4115.219999999996,0.025109295661760768
379,1.8407142857142855,59.905381431105845,92.90407358738503,39.017857142857146,57.86968650587913,-0.12392389109103874,4682.2149710439035,110.86943004901201,-7.095926412614969,41.75,4197.749999999995,-0.014355384731099072
380,1.8642857142857143,56.26081938834392,96.81620839363244,38.778571428571425,57.811283496115706,-0.3810597530012174,4570.220388735002,97.76623602876737,-3.183791606367565,41.08,4116.629999999996,-0.011667651794661262
381,1.9485714285714286,54.93460166468489,94.04388714733538,38.62357142857143,57.74814992996119,-0.6650250203410977,4451.064789987567,61.68240995064871,-5.9561128526646145,38.69,4023.649999999996,-0.07473189434422836
382,1.8721428571428567,43.02991725015914,55.17241379310348,38.504999999999995,57.680665831717604,-0.9475403249044945,4348.7526095278745,3.0113399324910595,-44.82758620689653,38.08,3929.899999999996,-0.09873890166882443
383,1.9457142857142848,37.076537013801754,41.849529780564275,38.66142857142857,57.57304543863167,-1.0418410907304363,4327.513291397822,-33.0555555555556,-58.150470219435725,36.35,3838.579999999996,-0.11735162656111975
384,1.8778571428571422,37.624378109452714,26.207906295753993,38.955714285714286,57.48734125489165,-1.0605036523376512,4304.1101587393105,-19.556042048794037,-73.79209370424601,36.35,3699.439999999996,-0.13128071135636546
